,NI,DEA,BP,DP,CFP,GPM,ROA,MACD,currentratio,RD,RSI,net_operating_cash_flow,Profit_G_q,asset_turnover,financial_leverage,ROE,Sales_G_q,EP,cashratio,CMV,debtequityratio,DIF,SP,return,label
000807.XSHE,-0.5309422397482352,0.5498853695437106,-0.4460476010995543,-0.18873975599491244,-0.08270545958173584,-0.6952488268589557,-0.4846115726100132,-0.44555052309814247,-0.7985123342468264,,-0.15722320115411062,-0.21470355444347045,,0.1302046498543617,-0.1524256458782663,-0.3146772750276892,,-0.22044074349034826,,-0.8010404207108208,0.915915201031488,0.21304702892381958,0.29339144907576503,0.6601941747572815,1
600663.XSHG,2.3338024516654476,-0.5681378785249873,0.8821763616962129,-0.23247902550304259,0.8106151908323025,2.0746006027172252,0.7728784942933818,0.5213041110461039,2.2898378675287754,,1.528161748989585,-0.14260656113086392,,0.16234381591426672,0.8510184466826123,0.51135268234595,,0.5020175303220551,,1.2248017676383458,-0.33301566795078497,-0.168581363683367,-0.01944741679210896,0.5304878048780488,1
000060.XSHE,-0.4146233756251323,0.6673455193581553,-1.1636064283236387,-1.2184348192304983,-0.5267430303175245,0.11204326203826592,-0.3604902711150041,-1.8059022069921025,-0.858236231226318,,-0.6779465126951718,0.16602889280175,,-0.1542934640293948,0.43456271881499925,0.23480036774850985,,-0.34135236437032157,,-0.15818436070577904,-0.7146037480354771,-0.4413532287276907,-0.3759863447625937,0.367816091954023,1
000725.XSHE,-1.4808916953993039,0.14829913259537703,-0.09287437401184914,-0.5257802364315064,-0.9182243747924852,-1.2114669052677478,-1.6980422895328735,-0.8716416113532308,-0.8394617542465738,,-0.7577831971970418,-0.026054834882424868,,-0.8063717418098411,1.551473578915763,-2.318615584176932,,-1.9562599719301772,,-1.1163668169451724,2.3070593695225625,-0.3447898995610183,1.2925949132076973,0.36309523809523814,1
000878.XSHE,-0.5603747347273451,0.41518266925370534,-0.6986140091829889,-0.1918624744762605,2.3096926620669165,-0.8017878362345854,-0.5450589338858759,0.10763613156567343,-0.49666211510589214,,-0.3748181768272393,-0.7206020685697527,,0.10354344663461153,1.3948688462515848,0.2682174426853441,,0.3072852398151153,,-0.45586225556607324,-0.9290399390639865,0.407137072968125,1.4206390663731776,0.3576158940397349,1
000933.XSHE,1.8310631430652489,-0.9029144506253927,-1.3936826801767552,-0.1925573561686389,-0.8027377264663235,1.575340465569877,2.066937444103753,1.0189858945044379,-1.01818972843547,,-0.1840841713620353,-0.412975595796806,,-0.840841657943359,-0.8205857929988697,2.024520685311289,,0.45531856282221633,,-0.3646034780519878,-0.7143844054678808,-0.18174408774475145,-1.6331449288827955,0.34751773049645385,1
600266.XSHG,0.6008177038364687,-1.0851892792635196,0.9554034846716095,-0.27359207881377784,-0.7505054192297713,0.9178243728553536,0.37144209099089565,0.5743922871922876,0.9154629690699508,,1.4586546505093665,2.3691613236202183,,0.5191575391872806,2.0565927503213137,0.6670138727356005,,0.6870827066963138,,1.2076647883067309,-0.08490541690171338,-0.5680138706192264,0.4467392385824658,0.3333333333333335,1
600030.XSHG,1.8216250864716492,0.3324333113647721,-0.7536666570765759,-0.0772716366169583,-1.6740821814422142,0.03811069992058267,0.29427633271874853,-0.4307293411609913,0.07168101120859073,,-0.32761832399269636,0.7103148816510237,,-0.4687539777542791,-1.2864672143451374,-0.2239272384199653,,-0.3367094059483025,,-0.45489802495520626,-1.7089326201571458,0.05131830390793966,-0.7570574106863056,0.3305785123966942,1
000612.XSHE,-1.1414391202681324,1.1529335790026545,-0.7916716372720672,-0.8851033289332969,0.14097704627626556,-1.0764938916177578,-1.8060877137055589,-1.311503226412498,-0.824304344285173,,-0.4353685171444599,-1.7409723232785326,,0.1682982978738101,0.4759500492714373,-2.3320103727963177,,-2.9347288922942,,-0.9551788429191221,0.5683164519904095,0.23432517305759604,0.39457361450580447,0.32692307692307687,1
000970.XSHE,0.6655231777086961,-0.5118210855738476,-1.3317194414742912,-0.8833570323157669,0.2392581507637738,0.3267006280503346,1.090258223441445,0.7904400066989784,-0.49168108789622583,,-0.1372328554642827,-0.14876038250813622,,-0.08347159372799602,-0.6006797490782771,1.2124865997622891,,0.2947129696685365,,-0.2508715280884436,-0.2932896003326528,0.026553296311379412,-0.9189846917509684,0.3230088495575223,1
